time,sleep,leave,mouth,blink,normal
2023-03-31 13:26:01.173866,0,0,0,0,1
2023-03-31 13:26:01.173866,0,1,0,0,0
2023-03-31 13:26:01.509731,0,0,0,0,1
2023-03-31 13:26:01.509731,0,1,0,0,0
2023-03-31 13:26:01.713078,0,0,0,0,1
2023-03-31 13:26:01.713078,0,1,0,0,0
2023-03-31 13:26:01.869068,0,0,0,0,1
2023-03-31 13:26:01.869068,0,1,0,0,0
2023-03-31 13:26:02.039302,0,0,0,0,1
2023-03-31 13:26:02.039302,0,1,0,0,0
2023-03-31 13:26:02.280200,0,0,0,0,1
2023-03-31 13:26:02.280200,0,1,0,0,0
2023-03-31 13:26:02.496735,0,0,0,0,1
2023-03-31 13:26:02.496735,0,1,0,0,0
2023-03-31 13:26:02.676313,0,0,0,0,1
2023-03-31 13:26:02.676313,0,1,0,0,0
2023-03-31 13:26:02.898756,0,0,0,0,1
2023-03-31 13:26:02.898756,0,1,0,0,0
2023-03-31 13:26:03.082947,0,0,0,0,1
2023-03-31 13:26:03.082947,0,1,0,0,0
2023-03-31 13:26:03.240038,0,0,0,0,1
2023-03-31 13:26:03.240038,0,1,0,0,0
2023-03-31 13:26:03.402824,0,0,0,0,1
2023-03-31 13:26:03.402824,0,1,0,0,0
2023-03-31 13:26:03.596792,0,0,0,0,1
2023-03-31 13:26:03.596792,0,1,0,0,0
2023-03-31 13:26:03.762374,0,0,0,0,1
2023-03-31 13:26:03.762374,0,1,0,0,0
2023-03-31 13:26:03.930113,0,0,0,0,1
2023-03-31 13:26:03.930113,0,1,0,0,0
2023-03-31 13:26:04.097496,0,0,0,0,1
2023-03-31 13:26:04.097496,0,1,0,0,0
2023-03-31 13:26:04.303485,0,0,0,0,1
2023-03-31 13:26:04.303485,0,1,0,0,0
2023-03-31 13:26:04.468041,0,0,0,0,1
2023-03-31 13:26:04.468041,0,1,0,0,0
2023-03-31 13:26:04.662624,0,0,0,0,1
2023-03-31 13:26:04.662624,0,1,0,0,0
2023-03-31 13:26:04.832979,0,0,0,0,1
2023-03-31 13:26:04.832979,0,1,0,0,0
2023-03-31 13:26:05.034832,0,0,0,0,1
2023-03-31 13:26:05.034832,0,1,0,0,0
2023-03-31 13:26:05.205555,0,0,0,0,1
2023-03-31 13:26:05.205555,0,1,0,0,0
2023-03-31 13:26:05.359778,0,0,0,0,1
2023-03-31 13:26:05.359778,0,1,0,0,0
2023-03-31 13:26:05.533097,0,0,0,0,1
2023-03-31 13:26:05.533097,0,1,0,0,0
